multiplier, confictSize, confictRate, timeCost, listSize, minHash, maxHash
0, 99117, 0.9994555, 0.091, 99171, 65, 233
1, 97381, 0.98195034, 0.006, 99171, 65, 2411
2, 54416, 0.5487088, 0.003, 99171, 65, 867330417
3, 21934, 0.22117352, 0.013, 99171, -2146642116, 2137295239
4, 10443, 0.10530296, 0.007, 99171, -2145424167, 2146069679
5, 6107, 0.0615805, 0.001, 99171, -2147399207, 2147249075
6, 3766, 0.037974812, 0.001, 99171, -2147450563, 2147227505
7, 2787, 0.028102973, 0.008, 99171, -2147196633, 2147180740
8, 4741, 0.047806315, 0.002, 99171, -2147447573, 2147449879
9, 1048, 0.0105676055, 0.001, 99171, -2147298204, 2147180725
10, 1281, 0.012917083, 0.002, 99171, -2146573975, 2147465616
11, 620, 0.006251828, 0.002, 99171, -2147471153, 2147474785
12, 807, 0.00813746, 0.002, 99171, -2147398159, 2147467631
13, 459, 0.004628369, 0.001, 99171, -2147451562, 2147409710
14, 713, 0.0071896017, 0.001, 99171, -2147477732, 2147410759
15, 416, 0.0041947747, 0.002, 99171, -2147452375, 2147416526
16, 16104, 0.16238618, 0.001, 99171, -2147303453, 2147232436
17, 257, 0.0025914833, 0.001, 99171, -2147423406, 2147453137
18, 144, 0.0014520374, 0.005, 99171, -2147375451, 2147433067
19, 103, 0.0010386101, 0.001, 99171, -2147331202, 2147344414
20, 519, 0.0052333847, 0.001, 99171, -2147431076, 2147455104
21, 59, 5.94932E-4, 0.001, 99171, -2147427345, 2147465171
22, 47, 4.7392887E-4, 0.001, 99171, -2147471764, 2147459069
23, 61, 6.1509915E-4, 0.002, 99171, -2147480097, 2147423349
24, 2914, 0.02938359, 0.002, 99171, -2147466213, 2147386651
25, 35, 3.5292577E-4, 0.002, 99171, -2147476345, 2147482501
26, 20, 2.0167186E-4, 0.001, 99171, -2147386822, 2147444233
27, 7, 7.058515E-5, 0.002, 99171, -2147414704, 2147463802
28, 46, 4.6384527E-4, 0.002, 99171, -2147417424, 2147483463
29, 19, 1.9158826E-4, 0.001, 99171, -2147384255, 2147460046
30, 22, 2.2183904E-4, 0.002, 99171, -2147473091, 2147482991
31, 127, 0.0012806163, 0.002, 99171, -2147461249, 2147444542
32, 35826, 0.3612548, 0.001, 99171, -2040847021, 2076711251
33, 30, 3.025078E-4, 0.002, 99171, -2147353896, 2147376989
34, 74, 7.461859E-4, 0.002, 99171, -2147483013, 2147480815
35, 29, 2.924242E-4, 0.001, 99171, -2147470025, 2147425648
36, 59, 5.94932E-4, 0.001, 99171, -2147447155, 2147317233
37, 14, 1.411703E-4, 0.001, 99171, -2147462317, 2147462889
38, 31, 3.1259138E-4, 0.001, 99171, -2147460067, 2147422687
39, 21, 2.1175545E-4, 0.001, 99171, -2147463635, 2147476192
40, 2858, 0.02881891, 0.001, 99171, -2147446773, 2147273388
41, 8, 8.0668746E-5, 0.001, 99171, -2147441648, 2147120976
42, 8, 8.0668746E-5, 0.002, 99171, -2147405273, 2147483000
43, 10, 1.0083593E-4, 0.002, 99171, -2147393177, 2147405826
44, 49, 4.940961E-4, 0.002, 99171, -2147480377, 2147365176
45, 5, 5.0417966E-5, 0.001, 99171, -2147269398, 2147481403
46, 7, 7.058515E-5, 0.001, 99171, -2147452043, 2147347589
47, 3, 3.025078E-5, 0.001, 99171, -2147340605, 2147366619
48, 15727, 0.15858467, 0.002, 99171, -2147089991, 2147400643
49, 7, 7.058515E-5, 0.001, 99171, -2147352731, 2147416541
50, 8, 8.0668746E-5, 0.001, 99171, -2147423824, 2147410053
51, 5, 5.0417966E-5, 0.001, 99171, -2147316574, 2147318188
52, 48, 4.8401247E-4, 0.001, 99171, -2147475953, 2147313173
53, 2, 2.0167186E-5, 0.002, 99171, -2147470209, 2147468158
54, 2, 2.0167186E-5, 0.002, 99171, -2147460983, 2147449829
55, 1, 1.0083593E-5, 0.002, 99171, -2147452079, 2147413358
56, 2847, 0.028707989, 0.002, 99171, -2147405129, 2147448453
57, 2, 2.0167186E-5, 0.002, 99171, -2147451469, 2147477987
58, 15, 1.512539E-4, 0.001, 99171, -2147446379, 2147408411
59, 9, 9.0752335E-5, 0.002, 99171, -2147472389, 2147446832
60, 34, 3.4284216E-4, 0.002, 99171, -2147470772, 2147452303
61, 14, 1.411703E-4, 0.001, 99171, -2147483500, 2147482480
62, 131, 0.0013209507, 0.001, 99171, -2147331015, 2147453791
63, 18, 1.8150467E-4, 0.001, 99171, -2147420188, 2147350736
64, 57879, 0.5836283, 0.002, 99171, -2088048077, 2110695720
65, 2, 2.0167186E-5, 0.001, 99171, -2147452349, 2147360934
66, 12, 1.2100312E-4, 0.001, 99171, -2147466751, 2147424950
67, 0, 0.0, 0.001, 99171, -2147361110, 2147460341
68, 79, 7.9660385E-4, 0.001, 99171, -2147450269, 2147478495
69, 36, 3.6300934E-4, 0.001, 99171, -2147434279, 2147446136
70, 10, 1.0083593E-4, 0.001, 99171, -2147440465, 2147336107
71, 16, 1.6133749E-4, 0.002, 99171, -2147455292, 2147483092
72, 2864, 0.02887941, 0.001, 99171, -2147238357, 2147386263
73, 39, 3.9326012E-4, 0.001, 99171, -2147457433, 2147401039
74, 1, 1.0083593E-5, 0.001, 99171, -2147421707, 2147446929
75, 17, 1.7142108E-4, 0.001, 99171, -2147416133, 2147332811
76, 38, 3.8317652E-4, 0.001, 99171, -2147427929, 2147384479
77, 71, 7.159351E-4, 0.0, 99171, -2147478351, 2147483023
78, 17, 1.7142108E-4, 0.001, 99171, -2147462178, 2147433119
79, 1, 1.0083593E-5, 0.001, 99171, -2147476510, 2147376264
80, 15902, 0.1603493, 0.001, 99171, -2147435737, 2147457443
81, 1, 1.0083593E-5, 0.001, 99171, -2147452047, 2147483266
82, 4, 4.0334373E-5, 0.007, 99171, -2147452679, 2147445541
83, 0, 0.0, 0.001, 99171, -2147447879, 2147459808
84, 45, 4.537617E-4, 0.001, 99171, -2147284849, 2147429704
85, 0, 0.0, 0.001, 99171, -2147432583, 2147345569
86, 1, 1.0083593E-5, 0.001, 99171, -2147381135, 2147384561
87, 0, 0.0, 0.001, 99171, -2147482314, 2147476264
88, 2828, 0.0285164, 0.001, 99171, -2147466405, 2147403383
89, 1, 1.0083593E-5, 0.001, 99171, -2147480894, 2147342984
90, 1, 1.0083593E-5, 0.001, 99171, -2147412859, 2147468328
91, 0, 0.0, 0.001, 99171, -2147468463, 2147428645
92, 43, 4.335945E-4, 0.001, 99171, -2147471745, 2147443916
93, 4, 4.0334373E-5, 0.001, 99171, -2147443893, 2147430066
94, 2, 2.0167186E-5, 0.001, 99171, -2147274971, 2147309165
95, 1, 1.0083593E-5, 0.001, 99171, -2147482971, 2147433240
96, 35828, 0.36127496, 0.001, 99171, -2147437805, 2146246131
97, 3, 3.025078E-5, 0.001, 99171, -2147483275, 2147340352
98, 4, 4.0334373E-5, 0.001, 99171, -2147374233, 2147190619
99, 1, 1.0083593E-5, 0.001, 99171, -2147332842, 2147469614
100, 37, 3.7309295E-4, 0.001, 99171, -2147468497, 2147472118
101, 0, 0.0, 0.001, 99171, -2147438652, 2147453235
102, 3, 3.025078E-5, 0.001, 99171, -2147466936, 2147449356
103, 7, 7.058515E-5, 0.001, 99171, -2147477535, 2147429776
104, 2852, 0.028758407, 0.001, 99171, -2147374069, 2147467095
105, 0, 0.0, 0.001, 99171, -2147468591, 2147455234
106, 1, 1.0083593E-5, 0.001, 99171, -2147470087, 2147453465
107, 1, 1.0083593E-5, 0.002, 99171, -2147447430, 2147468187
108, 36, 3.6300934E-4, 0.001, 99171, -2147311101, 2147416775
